bin	sign
8829	-1
8848	-1
8853	-1
8865	-1
8940	-1
8954	-1
8958	-1
8962	-1
8969	-1
8972	-1
8975	-1
8980	-1
8984	-1
8987	-1
8992	-1
8995	-1
9003	-1
9009	-1
9015	-1
9022	-1
9032	-1
9035	-1
9039	-1
9054	-1
9057	-1
9062	-1
9065	-1
9076	-1
9079	-1
9082	-1
9085	-1
9088	-1
9092	-1
9095	-1
9101	-1
9104	-1
9107	-1
9110	-1
9113	-1
9116	-1
9120	-1
9123	-1
9126	-1
9130	-1
9133	-1
9137	-1
9145	-1
9151	-1
9154	-1
9157	-1
9161	-1
9165	-1
9168	-1
9171	-1
9175	-1
9181	-1
9188	-1
9199	-1
9211	-1
9215	-1
9218	-1
9221	-1
9231	-1
9234	-1
9237	-1
9242	-1
9245	-1
9249	-1
9258	-1
9261	-1
9267	-1
9270	-1
9273	-1
9280	-1
9283	-1
9286	-1
9291	-1
9297	-1
9304	-1
9309	-1
9312	-1
9315	-1
9319	-1
9322	-1
9325	-1
9328	-1
9334	-1
9340	-1
9344	-1
9348	-1
9352	-1
9364	-1
9369	-1
9375	-1
9378	-1
9383	-1
9386	-1
9389	-1
9393	-1
9399	-1
9404	-1
9407	-1
9413	-1
9416	-1
9420	-1
9433	-1
9436	-1
9439	-1
9442	-1
9445	-1
9448	-1
9456	-1
9460	-1
9463	-1
9466	-1
9469	-1
9473	-1
9479	-1
9482	-1
9485	-1
9489	-1
9492	-1
9497	-1
9500	-1
9503	-1
9507	-1
9512	-1
9517	-1
9520	-1
9524	-1
9528	-1
9531	-1
9545	-1
9552	-1
9556	-1
9559	-1
9562	-1
9567	-1
9571	-1
9574	-1
9578	-1
9581	-1
9584	-1
9587	-1
9591	-1
9604	-1
9608	-1
9612	-1
9615	-1
9619	-1
9626	-1
9629	-1
9632	-1
9639	-1
9646	-1
9649	-1
9653	-1
9662	-1
9666	-1
9677	-1
9682	-1
9685	-1
9688	-1
9692	-1
9695	-1
9703	-1
9706	-1
9719	-1
9722	-1
9726	-1
9731	-1
9736	-1
9743	-1
9747	-1
9759	-1
9766	-1
9775	-1
9780	-1
9787	-1
9791	-1
9794	-1
9822	-1
9906	-1
9909	-1
9913	-1
9917	-1
9920	-1
9926	-1
9930	-1
9933	-1
9941	-1
9945	-1
9952	-1
9961	-1
9967	-1
9970	-1
9975	-1
9978	-1
9981	-1
9989	-1
9999	-1
10002	-1
10008	-1
10011	-1
10014	-1
10027	-1
10030	-1
10035	-1
10039	-1
10053	-1
10060	-1
10063	-1
10066	-1
10073	-1
10076	-1
10081	-1
10085	-1
10089	-1
10092	-1
10099	-1
10104	-1
10107	-1
10111	-1
10122	-1
10128	-1
10132	-1
10135	-1
10145	-1
10150	-1
10153	-1
10156	-1
10172	-1
10179	-1
10182	-1
10185	-1
10188	-1
10196	-1
10200	-1
10203	-1
10207	-1
10210	-1
10213	-1
10218	-1
10225	-1
10228	-1
10231	-1
10234	-1
10237	-1
10241	-1
